用户名,评论时间,IP属地,评论分数,有用数量,短评内容
爱搭不李女士,2024-09-15 16:25:46,北京,4星,2049,人是漂泊的鸟，爱是宜居的岛。
Lumity,2024-09-21 00:34:19,山东,5星,3174,不评价电影了，只说评论区各种拿着政治放大镜看电影，离开白左这俩字直接失去语言能力，不会说话了的，你们秀政治理解的样子像个小丑。
五加皮,2024-09-16 19:42:38,中国香港,4星,1480,学飞行那段蒙太奇哭得我快脱水了。也是没想到改编现代童书在好莱坞能这么indie，一众阿西莫夫衬得凡尔纳格外清新。
木风草海,2024-08-29 18:19:55,上海,4星,864,学学这讲故事能力，旁边的小孩说好看，大孩也看哭了。
20个小明≯,2024-09-04 17:27:03,北京,4星,602,观感有点像《疯狂动物城》混搭《钢铁巨人》，故事科幻到甚至有点魔幻，虽然很超现实，却能做到浪漫、热血又动人，高潮段落音乐上大分…
自律,2024-09-07 20:46:06,上海,3星,1074,比较低幼，作为成年人看一个含辛茹苦付出的母亲VS一个普男男宝，莫名其妙就群众对抗大资本坏人emmmm。养大自己的是杀全家的仇人这个伦理冲突梗还比较有意思，但……总之成年人没必要看。
🐾,2024-08-20 10:54:54,江苏,4星,403,影院一定记得多排英文原版，好吗？
Ber_雪碧,2024-09-06 21:17:06,北京,4星,463,母亲是一项任务、一个身份、一种处境。动画电影《荒野机器人》有着超出想象的表达深度，故事内核关于爱和成长，爱让人违背天性、跳出陈规。Roz的到来之于小岛，如同蝴蝶振翅引起的海啸，她让这里变得互助团结，自相残杀的动物们为了共同的目标而凝聚成一个家庭，理想乌托邦的建成原来只需一个伟大的母亲。wild robot中的wild一开始只是形容她所处的荒野环境，随着小灰雁的长大，wild成为她彻底的精神归属，她也完成从“人造”到“野生”的彻底转变。在选择荒野、习得母性的过程里，Roz渐渐“长”出了一颗“心”，母亲的身份让她“闪亮如新”。无私的付出、毫不犹豫的牺牲、最真诚的互助…这些全人类共同的情感让影片充满感染力。无需畏惧荆棘，因为失败是成长的必经之路；在广袤的荒野之上，生命与自然绽放出无限可能。
影志,2024-09-04 16:32:03,北京,5星,948,媲美《疯狂动物城》《玩具总动员3》《钢铁巨人》，个人年度最佳。
姝尹Y(^_^)Y,2024-09-12 00:04:07,北京,4星,365,感性上真的很好哭，中間看到羅斯和小布點兒分離又相聚的時候，淚點高的我也忍不住熱淚盈眶；但是理性上也有一些值得琢磨的地方，比如羅斯作為機器人，明明無性別，但是因為配音、形象設計等因素，在觀眾心中又被默認爲女/母了；“醜小鴨”小布點兒的基因注定了它會自己覓食、遊泳和飛行，羅斯的程序設定只是起輔助作用，如果直接把這段關係挪移到現實中的親子關係，那意味著每個人也都是獨立的，父母在孩子的成長中只是陪伴關係，誰也不欠誰，這樣的想法在東亞地區是不是很不孝？最後，羅斯和狐狸芬克及其他動物的關係也很趣，食物鏈各個環節的動物都能共處一室，唯獨少了“人”，感覺上人在某種程度上確實比機器人還危險，對自然的威脅度也更高哎。
嘟嘟熊之父,2024-09-16 22:31:38,北京,2星,409,高阶物种的傲慢与偏见，一个趋近于理想形态的“人类”闯入大自然教动物们做事，告诉他们不要伤害彼此，丛林里都是一家人。怎么说呢？不是很恰当，但不自觉想到某综艺黄子韬体验日结工生活，累到不行放弃，然后对工人说“一定要找一个自己喜欢的工作，这样才能干得起劲”。
蒜 | BOY A 🌈,2024-09-17 18:19:12,四川,5星,930,建议更名为《爱，荒野，机器人》，全片笑点密集，几乎是从头到尾在温馨和笑意间结束，这才是一部开心看电影应该有的感觉。片名中没有这个“爱”，但却是无处不在体现这个字，相信每个人都会在片中感受到，你心中相信的那个爱的存在。让我最感动，也是湿得最多的地方，是第一次放飞彼此前的眷恋和不舍，那种爱，也是心中一直坚信和遵从的部分，真正的爱从来不是要求和限制，爱是互相成就彼此思念。我是爱你的，你是自由的。
樱,2024-09-21 14:13:08,广东,4星,186,恢宏迷人的童话，由狐尼克倾情主演
Mr. Infamous,2024-09-04 18:59:52,北京,4星,206,相当古旧甚或可以说是老土的故事，古老得如同机器人身上的铁锈，然而就像那些沉睡的记忆，一经打捞与擦拭，过往的累累伤痕就会跟捆绑的残酷、寂寥与沮丧集体出土，不说悲苦造就出多好的品性，只说在大银幕看那些挣扎与挫败，很多时候不由自主就动了容。故事当然不舍或不愿在这条成人路上一往无前，所以Roz和Fink那种宽广辽远的孤寂感，一旦汹涌就会温柔地刹车。毕竟童话还是要比现实疗愈，让你相信人间并不存在的大爱，可以被成人如此固执地描绘。画风很美，尤其是在孤岛上，把种种性灵都钓出了灵性。国语配音基本上还是很烂，阻断我情绪的一马平川，还阻断了我谛听daddy的机会，可以的话，看原版吧。三星半。@ 环球城市大道，映后导演Sanders来了，我很多喜爱的动画，他都有参与，所以见到他，心里有放晴一下。
朝阳区妻夫木聪,2024-09-21 15:38:32,北京,4星,138,为什么没人告诉我会这么好哭，哭成狗了我要。母职并不是与生俱来的“任务”，而是一种能够后天习得的“能力”，光是这一点的立意就已经高出很多了。萝斯并不完全是一个高高在上的象征现代科技文明的天外来物，她同样也在被原始的自然和野性所影响，直到进化出了自己的个人意识。当然本质上这还是一部只存在于乌托邦里的童话，但关键还是看你以何种视角去看待它，不管觉得是在温柔的同化，还是在傲慢的说教，散播爱与和平本身是没有错的不是吗？
Solitude,2024-09-21 17:28:49,河北,5星,719,一部我无法客观评价的电影，整体来说还是套路居多，但是我想说对于我来说，能过一段时间就看到这样的动画电影是我活下去的动力。把套路拍成感动也何尝不是一种童话，而我的生活需要童话。
荔枝超人,2024-09-20 17:17:55,广东,4星,109,3-6岁儿童读物的内容都能这般打动成年人，或许是因为大家平日里都活得太累了，但我更愿意说电影还是个好东西。
