用户名,评论时间,IP属地,评论分数,有用数量,短评内容
C°,2012-01-03 07:16:41,,5星,14897,他们至少有电影的力量在支撑着弱势群体，而我们呢？因为【熔炉】的上映，一部关于【性暴力犯罪处罚特别法部分修订法律案】目前已通过韩国国会正式颁布，当时的嫌疑人也已被警方逮捕，【熔炉】让我们看到一部现实题材影片所蕴含的巨大能量。有时候一部电影真的可以改变一个世界！
桃桃林林,2011-12-30 21:04:54,,4星,5803,我们愤怒的不仅是禽兽的行径，更是禽兽逍遥法外，正义无处伸张，无能为力才是最痛苦和绝望的。一个非常容易感动观众的题材，尤其还是真实事件改编。其实电影还有很多提升空间，包括对犯罪场面的描述太刻意未也太多了。但仍喜欢这样的电影，这才是电影应有的立场。这就是我们和韩影的差距。3星半
茱湮河,2011-12-28 03:27:03,,5星,12849,想起一级恐惧的片头台词来：想找公平就到妓院，想被人干才到法庭。深雾中到处是颤栗的呻吟。
浑浊儿,2011-12-30 23:27:08,,未评分,12231,"为师不尊,为官不正,为医不德,为富不仁,为慈不善,这些都应该是另一个五宗罪"
又又,2011-12-30 13:13:27,,5星,7573,這個世界的絕望在於，眼睜睜地看著那麼多的不公不平每天都在身邊發生，自己再怎麼努力卻依舊無可奈何；而這個世界的希望也在於，明知是蚍蜉撼大樹，卻還是有那麼一群人執著地選擇了這一條艱難而幾近不可能的路。
qw-p,2011-12-30 20:48:57,,5星,5275,我们无法改变世界，但我们可以选择不被世界改变...
Doublebitch,2012-01-03 12:43:01,,5星,4742,当邪恶的力量已经渗透至社会的每个角落尤其是当权者手中，我们还他妈向谁去央求公平和自由
薇羅尼卡,2012-09-14 22:32:22,,5星,3891,令人绝望的不是电影，而是生活本身。
亵渎电影,2011-12-30 21:36:41,,3星,2073,笨拙的展示触目惊心的腐败和罪恶，毫无想象力的剧情推进，影片时刻在提醒你铁一般的事实，以及最后结局的无奈。这个故事让人没话说，但电影却没什么亮点，不像是故事再创作，更像是普及真相。打动我的是这个故事，这些孩子，而不是这部电影。★★★
握不住的灵魂,2012-06-09 20:12:08,,4星,3543,《内咸》--鲁迅
落大雨了,2012-01-03 15:13:50,,4星,2423,我在想演戏的小孩子会不会有心理阴影
Q。,2011-12-29 04:49:37,,4星,2049,“奋起反抗不是为了改变这个世界，而是为了不让这个世界改变我们。”电影以真实故事改编，又一部极其精彩反映社会阴暗的题材。每个人物都刻画的立体丰满，情感同样控制得当，无力感充斥全身。电影完结，愤怒、无奈、唏嘘、悲伤各种情感如同“雾津”的浓雾一般，久久未能飘散，始终萦绕心头。★★★★
白发生,2012-04-26 10:50:11,,5星,3793,大概只有套用《让子弹飞》里的一句经典台词才能略为表达我看完本片时的心情——震撼！震撼！！还是TMD震撼！！！我可以理解部分人站在纯粹艺术的角度对这部电影技法上的乏善可陈评头论足，但是我无法相信有人面对它由始至终散发出的那股震撼人心的力量时居然能做到完全无动于衷。
阿巴厮,2012-01-02 22:48:12,,5星,3345,不说别的，光电影那股正义的力量，就足以让人沸腾。
王大锤家属,2011-10-01 23:32:53,,4星,1175,好感人啊''''看得我都想杀了那些坏人''''
撕撕撕,2012-01-24 13:35:05,,4星,947,意料之外是看到最后才发现这是一部战斗中的电影，而不是想象中闭合的圆满故事。这个世界的确有太多事情值得我们去奋斗，虽然“大多数人在电影院哭成泪人，却对电影院门口的乞丐视而不见”。
同志亦凡人中文站,2014-03-21 09:19:10,,4星,477,言语苍白，人间地狱。这样的题材恐怕只有放进韩国电影的容器才会这么锐利和直戳心脏，一些艺术上的缺陷反而不重要了。鲁迅的“救救孩子！”言犹在耳，这样的世界真让人想投身熔炉，付之一炬。
齊克斯尼力佐飛,2012-03-27 22:42:27,,5星,2381,不能用电影的标准来评判它，因为这事件本身已经震撼得出一身冷汗，能拍出来就是已经了不起的事。
