用户名,评论时间,IP属地,评论分数,有用数量,短评内容
小伍,2024-12-14 01:49:41,天津,4星,107,这不比危机航线好看一百个中国机长😀
Walker,2024-12-14 19:58:01,上海,5星,21,寇派克的救赎！
嘶喊,2024-12-14 10:26:25,浙江,3星,296,上司小老头的尸体无人在意
嵇澹,2024-12-15 02:37:56,浙江,2星,59,"非常标准小登电影，十足浪费danielle deadwyler, 男编剧写便于男观众代入爽感配方的救世主角色想象力封顶不过是沉默隐忍，养家糊口的屌丝经历小人物卷进大事件考验的超典公式达成逆袭。配饰系女性人物工具属性开篇即拉满，为了完成无名小卒爆改化解恐袭危机英雄的不可能任务，编导手动降智所有前期塑造得无所不能的反派形象，第三幕直接抛弃智商和逻辑楔入科学教老登风的反常识力挽狂澜最后一秒拯救叙事，力追已被淘汰上世纪大男主惊悚动作样本的逆流意图顺滑归巢圣诞节主题托载的老婆孩子热炕头传统保守价值观白男典范人生图景。netflix尽管花费肉眼可见资金投入制造无脑程度貌似有所降低的所谓诚意回归之作，化成灰都闻得到的熟悉廉价算法味却像节日档如期而至的父权家庭守范propaganda, 换汤不换药阴魂不散。"
彦休,2024-12-19 20:27:40,上海,3星,71,圣诞动作片，悬疑部分缺点脑子，惊悚程度不够。反派死于话太太太太太多，爹味浓郁。我要是男主在卫生间就把他一枪打死，实在受不了一点。杰森贝特曼相当于录了部有声书，废话居多😇。塔伦埃哲顿已经称不上“蛋蛋”了，白煮蛋都比他的脸有滋有味。站在美艳女友旁边的他尽显寡淡（男演员可以多化妆/医美/整容，不然你除了点腱子肉还有啥🙄）。开头才最恐怖，一个机场安检员想躺平，但是身边的妻子、未出生的孩子、好友、上司，甚至恐怖分子都在催他奋进。结尾看他走向人生巅峰，只想喊句 MAGA🐶。剧情最荒谬的是，在机场暴毙的黑人警察和白人上司居然无人在意😅😅😅。他俩也是死得很随意。和同类型的《狙击电话亭》《恐怖直播》差了太多。
SundanceKid🌈,2024-12-14 23:07:07,浙江,3星,40,卖点明确“飞机上看的圣诞电影”，前一小时几乎都没掉链子，有惊也有险。Taron和动作惊悚片适配度非常高，建议多演
kylegun,2024-12-23 01:55:54,北京,5星,0,毒针暗杀，狙枪威胁，高速公路翻车乱斗，行李履带肉痛追击，爬飞机对决人生导师 Jason Bateman ，Rappa居然活到最后……逻辑不能太细想，热热闹闹挺开心
SleepWalker,2024-12-13 22:21:02,北京,4星,58,因为投资回报比普遍走低，这种中等成本的动作惊悚片如今越来越少见，但本片整体素质确实可以，虽然后半段男主开挂又机械降神，整体绝对算素质过硬的爆米花，佐米·希尔拉是类型片能手，本身也不是第一次拍空难/劫机相关题材。最近也不常看蛋顿演戏了，王牌特工3还有没有？
江河湖海浪,2024-12-13 20:07:56,河北,4星,62,Bro thinks he’s Ethan Hunt
基瑞尔,2024-12-13 23:05:24,广东,4星,26,比较得体的Netflix放送，或许也是它今年的各种独占电影里，继《逆岭》之后最值得被打捞和关注的动作片。Jaume Collet-Serra这几年对大IP各种不力的尝试，在这部回到舒适区；限时悬疑、圣诞幽默、“班味儿”生态…它没有太大的野心，而是谨慎地讲好这起一触即发的危机，以及力图调动每个环节和转折来创造亲历式惊悚。比起整体成色，两位主演更加可圈可点：Taron真的演出了“凡人感”，尽可能抛掉了一登场就足够足智多谋智勇双全的“伟人感”；Jason的大反派，也有意义。莫名感觉这个概念或者主演们要再次回归，而自己一点也不介意。
