用户名,评论时间,IP属地,评论分数,有用数量,短评内容
牛奶很忙,2024-12-28 15:51:22,山东,1星,249,你知道我为了看马东锡经历过什么吗
开平彭于晏,2024-12-28 23:37:43,广东,3星,61,【154】好大一出身份错位闹剧，充分说明了要跟对老板的重要性。能想象到以舞台剧呈现会有多精彩，但是在银幕上那种效果会大打折扣，我愿称为进阶版《日不落酒店》。故事不想深究，笑料比较普通，但至少服化道还是非常吸睛的。混乱中最打动人的是史策演的施诗，可以用最后的信任去为爱人解围，也可以决绝地说出那句“我有刀”。★★☆｜窗前明月，咣！·点映
哈哈哈哈,2024-12-30 21:57:02,北京,5星,148,费翔+马东锡+宋小宝是什么脑洞的人才能想出这么炸裂的剧情啊！就冲这个百年不见的阵容就必须要冲了！极致混搭的阵容确实带来意料中喜剧效果，宋小宝出场的那一刻我就笑了。关键是剧本本身也很扎实，简单的场景，复杂的人物关系，纠缠不清，层层反转。很鲜明的开心麻花式的喜剧，笑点不是堆砌段子而是靠戏剧冲突自然产生的，这也是好喜剧最重要的。        跨年档不可或缺的喜剧，就冲着纣王和他的咖妃组合也绝对值得看！
武侠小王子,2024-12-31 14:36:41,江苏,4星,220,"一部混搭感的喜剧电影，在暖色调映衬下，故事每一环的发展都很有趣，保证搞笑的基底同时又加入了诸多吃瓜桥段。开头以意外案件开始，封闭的酒店空间，增加了角色的张力。而随着后续剧情展开，人物之间的关系变得越发有趣好玩，尤其马东锡出场很有反差感，增加了人设的许多""可爱""。而宋小宝的婚纱造型，更让人捧腹不已。在密集的笑点中，我们能看到真诚和善良之于生活的价值，在笑声里实现愉悦感和满足感。"
米歇尔,2024-12-30 09:25:56,北京,5星,159,电影很好看，费翔老师一款老式daddy，饰演一个台词密集的律师，演技在线，台词功底扎实，和傅菁的对手戏也很精彩，再加上马东锡，左凌峰，宋小宝的加入，跨年必看喜剧。
HarperDie,2024-12-31 14:58:23,北京,1星,223,零星。怎么会登成这个样子……
来点快乐,2024-12-31 14:40:51,湖南,4星,219,在影院差点没笑死，是什么人能想出这么癫狂慌乱的剧情啊，一整个高开疯走，超有意思～
口十三白,2024-12-30 19:43:50,北京,1星,181,这个B电影是真烂啊！强挠胳肢窝，快跑💨
李小丢,2024-12-31 15:03:29,辽宁,4星,212,跨年档里最好笑的电影非它莫属！在难搞的日子里让观众毫无负担地笑出声来，就是大功一件。看惯了很多喜剧演员的排列组合，这次费翔+宋小宝+马东锡的联袂出演就吊起了人们的好奇心。别说，每个人的角色都出乎预料。谁能想到，在浪漫的月下爬上窗台的不是罗密欧，而是宋小宝呢？得益于原剧作的扎实剧本，在酒店相邻两个房间里陆续登场的十个人，靠着误会+错位的剧情笑点设置，让站在上帝视角的观众看着他们手忙脚乱，笑料百出，全程无尿点。另外要着重夸一下费翔，内娱导演你们错过了他多少年啊！正剧喜剧都如此出彩，每次都是片中最魅力四射却又在主旨上反爹味的人物，真不愧是妈咪严选。
Ber_雪碧,2024-12-31 14:37:33,北京,4星,196,真的很好笑！！回想当时费翔马东锡宋小宝的混搭阵容震惊全网，这几位竟然真有奇妙化学反应。费翔的精英律师胡恭平绝对是今年银幕上的“嘴强王者”，他的所有台词都太妙了，一本正经的胡说八道跟反差极大的角色设定很新鲜，是银幕从未见过的一面，编剧导演演员选角都该夸。不光是“朱士奇 朱佩奇”“养朱千日 用朱一时”这种谐音梗，还有很多让人会心一笑的本土化笑点，比起原剧本里政府副部长出轨打字员的设定，控方律师与辩护律师助理偷情私会的设定要通俗许多，这次改编绝对是诚意十足，用心在做剧本文本。左凌峰演的小助理格外出彩，即使看过原来话剧对剧情有所了解，也依然被他的演绎惊喜到。
杜小德,2024-12-31 11:24:16,北京,4星,186,后面宋小宝饰演的这个角色与费翔和马东锡有对手戏的时候，毫不夸张地说，我所在的那场观影，现场有人被剧情逗得笑出了“猪叫”！宋小宝的部分真的是太逗了～哈哈哈（来二刷，还是被宋小宝逗得笑到流眼泪）
巴伐利亞酒神,2024-12-31 14:38:16,上海,4星,187,一部可以在影院笑出肠痉挛的电影，一场偷情引发的荒诞喜剧。费翔再次施展出“惊天地泣鬼神”的pua大法，一张骗人的嘴pk马东锡的铁拳，针尖对麦芒般的“文攻武斗”，笑料像机关枪一样让人无法招架。用无数个谎言去圆一个谎言的故事总是令人欲罢不能，尽管有些谎言是善意的，但归根结底还是会变成坏人的挡箭牌，就像天性善良的朱士奇被迫沦为胡恭平的帮凶那样。观众在捧腹大笑之余，也一定能体会到这种“大人物”霸凌的现象：无论对男性的职场剥削，还是对女性的情感欺骗。捧腹之余，可千万要警醒。
张洋芋Tater,2024-12-31 16:04:51,陕西,1星,144,仿佛在看一群通了电的青蛙。
deus,2025-01-01 13:09:20,吉林,3星,10,能看出原文本的质素应该相当不错，但它更应该像是出现在上世纪五六十年代，比利怀尔德式的黑白喜剧片，本土化做得很一般，翻译腔台词比比皆是，而且强行融入的东北小品风，更是让片子看上去违和感强烈。明明是一个所有人互相绿，不停用新谎言弥补旧谎言的讽刺喜剧，最后却非要回到正义必胜，皆大欢喜包饺子的中式套路上，不得不怀疑那部分是改编里的骚操作了。
韦斯安徒生,2024-12-31 08:29:16,云南,1星,137,继《日不落酒店》和《超能一家人》后，《窗前明月，咣！》让我又吃一堑。片名谐梗音出烂片诚不欺我，费翔和马东锡两个美国人演这种片子是何居心，建议严查！（不是）
FanyTiffany,2024-12-30 23:18:09,北京,5星,107,让我很惊奇也很期待的一个点就是这部喜剧电影的导演是杜晓宇老师诶，就是我们众所周知的“前夫哥”老师哈哈哈哈。特别特别好的有才华的一位喜剧电影导演和喜剧演员！超级伟大  ᖰ⌯'▾'⌯ᖳ从小到大我都是看宋小宝老师小品长大的，从小到大的电子榨菜毫不过分！！令人超级超级惊喜的是，这部喜剧电影居然还有我超级超级喜欢的影帝“神”马东锡老师，说马东锡老师在的电影绝对是好戏保障！！真的是梦幻联动，几位意想不到又在情理之中的演员终于在一部电影里了哇塞🤩🤩🤩🤩即将迎来2025年了，我们就需要这样的电影让我们在大荧幕前哈哈哈哈哈哈，为新的一年开个哈哈哈哈哈的好头，打响喜剧笑翻一整年第一炮！祝《窗前明月，咣！》票房大卖！！
海寶貝,2025-01-01 14:22:47,北京,3星,8,最后居然圆了谎！正惊异编剧的能力，结尾显示 根据***原著改编…. 我说呢，没点水平就收不了尾，不错
荼靡,2024-12-30 21:56:52,北京,5星,40,有幸参加了电影《窗前明月，咣》的北京首映礼，这部电影改编自雷.库内的经典喜剧《Out of Order》，一个荒唐的晚上，一堆巧合堆积碰撞产生了戏剧冲突，节奏明快，笑点频出。第一次看费翔的喜剧片，略带一点腔调的普通话在葡市的背景下非常合理，荧幕上的大律师超级帅，演喜剧片的daddy也是游刃有余～左凌峰扮演的是大律师的小助理，以前只看过喜剧舞台上的左凌峰，在这部电影中的演技非常自然顺畅，非常吸粉～这部戏的其他角色也都不错，宋小宝更是出现即笑点，剧场里大家都在一直哈哈笑～总结，一部非常适合过年观看的喜剧电影，推荐推荐！
宁小静,2024-12-29 00:47:53,北京,4星,145,开心麻花的导演，将不老男神费翔，东北喜剧代表宋小宝，喜人左凌峰，火箭少女101的傅菁，韩国的硬汉马东锡，还有黄小蕾，这样的乱炖搭配也能看出这是一部喜剧。怎样评价也不一定是好片还是烂片儿，如果他是喜剧，它能够让在场的观众笑了，那就是好片。主创团队是在用心逗大家笑，尤其是费翔，他用商务殷语的口吻说台词，真的很搞笑，而且这种舞台剧的感觉。电影的首映礼当天见到了费翔老师，他人真的很好，很贴心，很热情，期待费翔老师的下一部作品，也就是新年的《封神2》。
