用户名,评论时间,IP属地,评论分数,有用数量,短评内容
loxtinyl,2024-12-03 22:36:47,吉林,5星,547,你做你自己 怎么会是你的把柄
猴子酱酱酱酱,2024-12-07 17:40:25,重庆,4星,632,如果男人们早点回家的话，女人一个人走夜路也是很安全的！
饮歌,2024-09-16 02:35:18,加拿大,3星,289,挺轻松的，尤其是看了十天电影节的文艺片，来部这种电影真的很解乏。不过这故事更适合拍成电视剧。男主演技有点拉。最打动我的点是妈妈包里那张CMBYN的电影票。
亵渎电影,2024-12-04 01:53:03,河北,3星,154,这个电影版改写了小说第一部分的内容，两个角色的感情线基本上重写了，把戏份分摊给那些配角们。在熙的角色增加了很多戏，看到最后感觉男主的戏被女主抢走了，金高银太耀眼了。男主这条线上放大了出柜难的内容，增加了很多内容写韩国保守的大环境，在讲男主的自我认同上，不如小说和剧版洒脱，对比之下，就显得这个电影版有点保守了。更保守的是，它讲是gay和直女的成长故事，已经是另一种更适合顺直观看的东西了。
西楼尘,2024-11-29 00:03:03,中国香港,4星,541,一个好gay蜜顶上十个坏男人，遇上这样的室友情愿一辈子不谈垃圾的恋爱。
Jo_Jo,2024-10-11 15:12:08,新加坡,4星,328,Rom Com终于走到顺直女和Gay做男女主，互相拯救的阶段了。但怎么女主还是得结婚😅
Xaviera,2024-10-16 01:56:58,北京,4星,251,用如《你的婚礼》《那些年我们一起追的女孩》爱情电影的模板拍了一部我和我的gay蜜的多年友情故事，桥段不新但总体看得太舒服了，金高银的百搭体质真的无论搭谁都太有火花了。这片其实还能改名叫：金高银和他的男人们。看到最后婚礼甚至还被感动得不得不感慨一句：人生能得一如此知己足矣。
布鲁,2024-12-08 22:41:13,天津,3星,43,金高银的可爱和灵并没能拯救俗套桥段的堆砌之感，以及请不要碰瓷梁朝伟。
harunorange,2024-10-16 17:24:23,澳大利亚,4星,212,这两个演员实在是太好了，什么俗套的拍法都doesn’t matter金高银拯救了我糟糕的一天，还好赶上了这场！！！！
舌在足矣,2024-09-06 01:44:29,美国,2星,32,将rom-com常见套路用同性元素来反套路做得不错，但也不是什么新东西了，剩下的都是非常韩剧的美学质感
商狗,2024-12-02 11:03:50,中国香港,5星,477,年度最佳韩国电影。韩国电影工业太厉害了，已经可以将女性主义和LGBTQ这种严肃社会议题变成轻松愉快的商业爆米花电影了
朝阳区妻夫木聪,2024-12-05 14:34:31,北京,3星,36,俗套但是落地，观赏性不错。金高银真是出色啊，相比而言男主角就有点普了，印象里去韩国玩的时候放眼望去满大街都是这样的双开门。开头几个场景还看到了当时去梨泰院玩时光顾的酒吧，哈哈有点亲切。这种直弯好gay蜜的故事放到西方确实已经见怪不怪了，但是在压抑的东亚，尤其是恐同氛围浓厚的韩国，还真是觉得不够看呢。另外，片子更多讲的是在身份爱情取向认同之外，在大城市的孤单漂泊的我们要如何互相取暖彼此停泊，这对于当下不管哪个国家大城市的年轻人来说，都是需要面对的课题。
凹凸,2024-12-03 23:59:09,上海,3星,24,并没有太多真正新鲜的东西，不过是Will & Grace的一次东亚移植。能感觉得出来剧本改编的过程中，为兼顾原著情节而导致的诸多稀碎和跳跃，藏在直弯情谊背后的阶级差异/父权制批判/理想与现实博弈之类的话题，最终也只是浮光掠影的几笔注脚。但是金高银的表演很棒！
原味乱码圣母,2024-10-09 13:07:37,美国,4星,168,Miss A恐成最大赢家。我思考了一下是给三星还是四星，最后决定还是四星，挺久没看这样一部简单轻松并且叙事极其清晰的电影了
潮汐锁定,2024-11-24 19:39:34,中国香港,4星,146,好朋友就是人生中的外挂，与你说尽花月诗酒，忘却那些柴米油盐。
崔秀彬,2024-10-01 20:34:09,韩国,4星,117,浓淡适宜的都市小妞喜剧变体，怎么会有这么好磕的男同闺蜜情，与其说是《大都市恋爱法》，更像是《大都市生活法》，男女主角互相感受着从青春到社畜需要走过的每一步、每一个真实的困境，但依然尽可能地生活着，像每个生存在都市中的普通人，不卖弄苦难也不搞噱头，只追求看完后轻松愉悦的氛围和会心一笑的眼泪
刺猬的优雅,2024-12-05 02:43:29,北京,4星,114,拿子宫模型狠狠砸变态的头很带劲！但是真的没必要安排一个结婚情节的
Xavier,2024-12-10 17:35:40,宁夏,4星,70,有时候真挺可怜直女的，生活里的男人都什么玩意儿啊，简直就是一场大逃杀
倚风帘,2024-12-08 15:24:01,江苏,4星,35,金高银真灵啊，人设随着年龄在改变，驾驭着每一个人生阶段。疯狂的，敢爱的，敢仗义执言的，敢拼命的，看到了一个鲜活的女孩子，以最认真地姿态，生活在这个大都市中的样子。
沥川,2024-10-26 12:42:30,山西,5星,313,其实更让我羡慕的是他们的友谊
晏楠,2024-12-08 19:15:17,四川,3星,10,说了很多，又好像什么都没说
DJ严东东,2024-11-22 19:55:47,中国香港,3星,18,虽然有点广告的拍法，但居然是这么温暖的，在刻板环境中构建希望的故事，情感的露出很简单而又感人。三星半
