用户名,评论时间,IP属地,评论分数,有用数量,短评内容
踢迩达,2024-05-22 09:26:15,法国,3星,1582,"#Cannes2024-23 ""给你两个亿离开我儿子“，区区一万美元就成交，Sean Baker格局小了，多看看霸道总裁文。"
yuki,2024-11-02 08:06:22,英国,4星,894,漸入佳境後全程笑死 光頭毛子跟女主我真的磕瘋了 片尾兩人坐在車里 窗外大雪紛飛 女主跨坐到男人身上 試圖用性來回饋他的善意 但是男人卻對此意興闌珊 只是目不轉睛地關注著她的表情 直到她終於被情緒擊垮 倒進他懷裡大哭 那個擁抱太戳我了 想到在愛沙尼亞海濱的冬天 也是在窗外飄雪的車內 北國男人外冷內熱的氣質總能把氛圍攪動出一種奇特的曖昧 Coney Island跟Brighton好像 希望明年可以去 前半小時暴露戲太多且沒必要所以扣一星
舌在足矣,2024-05-22 01:52:05,荷兰,4星,847,一个俗套的拜金女与富二代的故事被最后几分钟给拯救了
Sid,2024-05-22 01:08:32,英国,3星,1182,虽然讲故事的方式是我喜欢的《橘色》那种感觉 但不得不说 还是被一阵阵男本位的叙事创飞 所有混乱争吵和打斗都围绕着一个男人展开 不论婆媳较量 还是雌竞的catfight 都是如此 观众很难在此起彼伏的笑点中想到这一切内核实际上非常厌女… 但是你忍不住笑 你忍不住冒犯自己 此刻又将回到女性观众作为受虐者的尴尬处境…
谋杀游戏机,2024-05-22 17:18:33,法国,4星,800,在戛纳大家都喜欢看这种奇情刺激狗血的商业爽片，非常提神醒脑，我旁边的女士快要笑抽过去了。这部讲一个脱衣舞女跟一个花天酒地的俄罗斯王思聪冲动闪婚了，引发他的寡头家族地震的故事。本以为这种片名的会是个讲女性觉醒的文艺片，没想到很快步入了扯头花洒狗血掀翻天花板操天操地的喜闹剧路线，大佬手下的搞笑惨状就完全是喜剧片的拍法。好奇它要怎么收场，没想到是收在了跟保镖的救风尘纯爱+以性相报上，emm…女主的内心在观众看来却是模糊的，她到底怎么想，23岁的脱衣舞女真会那么天真相信爱情？
烧鹅酱,2024-10-27 02:56:39,加拿大,4星,686,真的好喜欢3个打工人的戏啊，太好笑了
快转眼球,2024-12-19 01:36:58,吉林,3星,1066,看到Igor的第一眼就期盼不要出现结尾那一幕，俗到爆
陀螺凡达可,2024-05-22 15:24:05,法国,4星,519,变奏的肖恩贝克。第一段以最绚烂的方式建立起好莱坞爱情童话，中段随着矛盾爆发，童话迅速瓦解成狂躁又歇斯底里的聚众争执和纽约狂奔，以至于试图重建爱情叙事的最后一幕最终只剩破碎的样貌。整部片都把女主围困在由金钱/阶级掌控的物欲社会里，所有金钱及其能换来的一切（商品、性）都以极为暴力的方式出现在影像中，而身处其中的女主如同贝克以往的角色，表面的肢体动作上如此坚韧和顽强，在最不可能的情景之中也绝不放弃挣扎（卡比利亚对爱情的纯真幻想被肖恩贝克重释为更当下、更暴力的对逾越阶级的幻想，所以也是反《漂亮女人》式的好莱坞-美国梦叙事？），面对现实的不断重击却丝毫没有低头认输的迹象，反而是在最后狭小空间内被彻底击溃，可能是贝克自《橘色》后最好的电影。
西楼尘,2024-11-28 21:47:33,中国香港,4星,571,把舞女的身体当成工具，把富豪的慷慨当成真爱，把一纸婚约当成水晶舞鞋，把悔婚的专机当成南瓜马车。不喜欢和他相配的汽车，竟幻想和她不配的豪宅。他的手心可以变出钻戒，他的口袋可以变出围巾，他的怀抱可以变出脆弱的她。窗外大雪纷飞，只有这间她瞧不上的车厢，可以收容今晚灰姑娘扒掉皮草的狼狈。
veloursoeuf,2024-11-09 06:51:52,法国,2星,2019,bruh 刚被一个男人伤害的女人最不需要的就是另一个男人的拯救
Peter Cat,2024-05-22 09:53:20,法国,4星,495,@CannesGTL 肖恩把过多精力损耗在了中段过于重复且缺乏社会学意义的闹剧部分，而剩下的剧情并不足以让这个年轻妓女在世俗和纯真之间层次丰满地摇摆起来，这便导致了不那么可信的结尾，以及同样单薄的女主人公。但肖恩电影又总能够轻而易举捕捉到当代美国人一种肤浅的，天真的快乐和活力，并将其转换为电影内在推进力，这种极具短视频和youtube社媒气质的观赏性，让电影变得更当代，更宽容，更诱惑，让一种“严肃的”电影继续存活。这是肖恩·贝克的价值。
试图成为赛博格,2024-11-13 23:22:59,英国,1星,821,就是，我们到底能不能把黄片还给黄片，把情色还给情色，把爱情还给爱情，把喜剧还给喜剧，把女人还给女人，我们到底能不能，到底能不能啊？
判官,2024-12-20 23:11:45,北京,4星,243,第一幕porn文学，第二幕小时代，第三幕爱在布鲁克林。结尾一幕足以留名影史，不难理解为何会拿金棕榈。眼神和拥抱是这个世上最深刻的爱。
黄泉商人智多星,2024-05-25 05:50:51,法国,3星,495,为幽默加一分，没想到最后是个喜剧公路片。能把脱衣舞女嫁俄罗斯富二代拍得出彩也是不容易，不过显然大家都买账了。偶尔出现的低角度镜头和冷冷的调色像是埋在笑声下的幽灵，提醒着观众这里有的不只是天真的美国小女孩，傻逼富二代，干不好活儿的俄罗斯老大，而是压迫与被压迫的人，而这些东西就在一个个笑点中轻快地流走了。
