用户名,评论时间,IP属地,评论分数,有用数量,短评内容
死肥仔进化ing,2024-12-28 13:44:27,广东,3星,4368,看完电影，觉得我像一个被陈思成这个坏男人花言巧语哄骗了一万次的笨女人
林摸鱼,2024-12-31 10:02:46,北京,3星,2155,事发地依然是犯罪圣地东南亚。说来也怪，这个地方的公检法系统一摊烂泥千疮百孔，但媒体监督居然如此发达。
带你去遛弯弯,2024-12-28 16:24:18,河南,2星,3022,有点像陈思诚对中国电影行业的服从性测试
JSzpdjChen,2024-12-28 16:57:25,广东,3星,2446,《消失的她2》…
画圆的人,2024-12-28 16:44:48,浙江,2星,1962,思诚宇宙讨好女性群体的方式：“我们都喜欢女孩儿。”
泡面大王女士,2024-12-29 22:56:37,湖北,3星,1645,不知道怎么形容…感觉陈思诚的电影总是很努力塑造人性的复杂，但又塑造得很扁平化…
别针,2024-12-30 15:16:55,上海,3星,823,只要你看过1000部电影 你就知道陈思诚要拍什么
九离,2024-12-28 16:18:25,浙江,4星,1850,余华英二审死刑
总有蓝天,2024-12-28 11:05:55,山东,1星,1991,各位B站颁奖区UP主的“金菊花”“金抹布”“金骡子”们还是颁得太早了。本片完美符合“东南亚犯罪宇宙”电影的所有特质，虽然名字叫“误杀3”，但大概是过不了查重的：紧凑的“爆点”，夸张的配乐，刻板的人物，黄绿的阴间滤镜，狗屁不通的逻辑，浮夸虚假的反转，以及对弱势群体的虚伪共情，共同演出一场猎取最廉价快感的杂耍。
不留痕迹,2024-12-28 11:11:58,湖北,3星,660,中国版的飓风营救系列，每回都为救女儿杀疯了。
大奇特(Grinch),2024-12-27 21:45:25,北京,未评分,346,马浴柯看到最后应该会直拍大腿
三缺一,2024-12-28 12:26:02,上海,4星,924,好消息:是可以去看了。坏消息：剧情是关于萝莉岛；有的孩子是孩子，有的孩子只是商品。全球每小时有137名儿童被拐卖。这次是拐卖孩子的剧情，剧情的推进节奏很好，整体细节也挺不错的。在反应社会现实的同时，感情线也推进也很细腻，又让csc装到了
Ssugarz_0119😸,2024-12-28 17:22:33,广东,4星,740,个人觉得，和达蒙局长对峙那里，如果再拿出一颗糖（服从性测试）是否得到了更大闭环？彻底呈现人的自私和黑暗。
弓谷所長,2024-12-28 18:44:57,广东,3星,495,剧情很乱，音效很吵，背景音乐太大，一惊一乍；和误杀无关，却用误杀的ip捞钱；题材很好，人贩子的故事，但太多了；还有，肖央是不是刚拍完人贩子电影《浴火之路》啊！
朝暮雪,2024-12-28 20:33:54,四川,2星,1293,正常的悬疑片是需要铺垫的，观众根据这些线索推理真相和凶手，也是看悬疑片的最大乐趣，仿佛自己就是侦探，即便猜错了，在谜底揭晓时也会感叹：原来那个镜头早就暗示了真相。而本片没有任何铺垫，没有任何男主以及那几个关键人物的背景介绍，一开始就是女儿被绑架，然后才开始讲男主的过去，这种电影太好拍了，毕竟导演想怎么拍就怎么拍，怎样更反转就怎么拍，专门朝观众想不到的地方拍，随便拍都不会和前面产生冲突。所有的反转都是凭空出现的新的剧情，而不是呼应前面的伏笔。这就导致每次出现反转的时候，你没有那种“原来是这样”的感觉，只有意料之外，没有情理之中，毕竟你前面一点铺垫都没有，我怎么能猜到真相？观众没有参与感和互动感，任凭你有再多的反转，也是为了反转而反转。
Greg的42部烂片,2024-12-28 09:46:39,广东,2星,1295,剧本有点像是从《亲切的金子》那里拿了点灵感，搞了一出大陆版的又发生在像是东南亚地方的家长复仇记。后面30分钟为了反转而反转，给你上了一节复盘课，像是在给观众炫耀“我很牛吧”“没想到吧”“瞧我这儿写得多好”，充满傲慢感。整体实在无聊又尴尬。
叶落深秋,2024-12-27 21:48:05,北京,5星,187,水平超越第二部，和第一部持平。真的很好看，每个主要角色几乎都有反转，你以为的好人不一定是好人，你以为的坏人不一定是坏人。有两个桥段令人印象深刻，一个是肖央在生死之间做的选择，出乎所有人的意料，一个是直播开始的时候那个画面让人恍然大悟。一切的伏笔在最后有了收束，陈思诚的导演功力真的很可以。事情的真相有三个版本，而最后的真相更让人难受。在慢慢耗尽氧气的最后生命时刻，那些孩子该有多绝望。这部电影的立意非常应景，看到那些失去孩子的父母真的忍不住流泪，有孩子的人真的会看得非常难受。而印象最深刻的是肖央一直说的那句我没得选，而实际上他一直是主动做的选择，他从来不是没得选！而最后的留白给观众留下了无尽想象得空间，到底肖央最后会怎么选呢？善恶，不过是一瞬间。最后，愿天下无拐！
墨涅涅,2024-12-28 13:18:17,山西,4星,738,质量秒杀2，精巧程度不如1，结局部分略微散了一点点，但依然是质量很不错的悬疑片。从挑战谜题的角度看，误杀1层层精巧包裹，拿捏情绪，做得最好。这一部我猜中一部分，有些地方没猜到，就挺好。从开局第一分钟就进入高潮，前十分钟塞了其他片半小时戏份，20多分钟已经高潮迭起好几回了，看得非常爽。直播的点子贯穿全程，有质问有控诉有态度，很好。导演不知道是不是新人，这次成品除结尾，我可以给到7.5-7.8，但结局受害者聚在一起谋划这部分处理有点软，感觉应该继续删减一半以上剧情，全做快节奏闪回蒙太奇处理会更清爽，避免过度煽情。推荐所有喜欢类型片和悬疑片的观众去看，不会令大家失望。
黑道少女沈來迟,2024-12-28 18:51:07,贵州,3星,389,太吵了，不管音效还是收音都吵得要死。
燈,2024-12-28 12:01:17,浙江,2星,1117,一部比一部烂 全靠音效推氛围 孩子宗教东南亚这几个元素屋里陈监到底还要用多久 没有悬疑也没有侦破 你说当他是反拐卖教育片又太血腥 原来没有天赋的人也会江郎蠢尽 希望没有第4部了
小旗,2024-12-28 11:04:51,北京,2星,856,不光和重生全面撞梗，高捷都是直接拿来用的，本质更是和默杀如出一辙的货色，故弄玄虚，卖弄尺度，前期逻辑漏洞就多到数不过来，后期则直接失控，高潮反转累赘到直接开启解说模式，当悬疑片看简直笑掉大牙，肖央完全是从浴火之路直接串戏过来的，浮夸造型搭上更悬浮的文本，这马上2025了陈思成还在卖弄这点奇技淫巧，你看看还有没有观众买账
谋杀洗衣机,2024-12-28 11:06:51,北京,2星,504,果然是陈思诚，这次玩的是诺兰的炸船游戏。
Xier.,2024-12-28 18:19:21,河南,2星,281,一开始是“默杀”（孩子被拐）、接着是“贫民窟的百万富翁”（被拐+问答）、然后回到“误杀2”（两个孩子经典二选一）、突然变成署长是坏人（误杀1即视感）、接着又变成萝莉岛…然后一堆孩子家长聚一起（亲爱的）、片尾女主大反转（消失的她片尾处理）….想看东南亚大拼盘的一下子满足了😅
麦朵,2024-12-31 17:06:24,安徽,5星,138,怎么会评分那么低的，明明很好看啊！
逆天丸子,2024-12-29 20:13:29,辽宁,4星,330,最后肯定是孩子被打死了，所以最后男主说了那句报应，男主想挡子弹，但是以子弹的速度人慢多了。男主要是被打死了应该叫解脱，只有孩子死了才叫报应，因为男主害死了那么多孩子。
紫色腚片儿,2024-12-28 14:22:55,陕西,2星,263,电影大裁缝…就当在影院看了集美剧吧😂
JoeyLu陆柏宇,2024-12-28 12:56:13,江苏,3星,265,好家伙，陈思成把《消失的她》的套路又用了一遍！本来想四星，因此降一星，不过节奏蛮紧凑的。
红叶满寒溪,2024-12-28 11:32:22,重庆,1星,1794,陈思诚不愧是电影裁缝，去每部好电影里去裁点梗然后缝合成一部烂片。
巧克力工厂厂长,2024-12-31 15:42:32,北京,4星,172,评分不至于6.1吧？？豆瓣人是完全分辨不出好坏片子对吗？毫无视听的短视频化影片光靠金句能到9分多，而工整商业片6.1？？可笑咧！
根号石榴,2024-12-28 11:48:50,浙江,4星,221,不得不说，年末的《误杀3》给足了惊喜！影片开场的网络直播绑架案就像一颗重磅炸弹，瞬间点燃观影热情，牢牢抓住观众的心，让大家不由自主地沉浸其中，跟随剧情跌宕起伏，心情如同坐过山车一般，从好奇探究到被深深震撼，内心满是五味杂陈。这部电影继承系列传统，以扎实的悬疑架构、扣人心弦的犯罪故事打底，融入深厚亲情，在生死抉择间对人性展开深度剖析。它的厉害之处在于，不满足于表面的反转，而是深挖人性的黑暗与复杂，将坏人的 “恶” 毫无保留地展现，那种冲击力让人看完久久回不过神，震撼之感经久不散。肖央把郑炳睿的癫狂与父爱诠释得淋漓尽致，官方海报暗藏玄机，原创故事更是处处是亮点，反转不断，值得反复品味
深空卡西尼,2024-12-28 14:04:45,江西,4星,189,每个孩子都是父母的掌中宝，都是父母眼里的光。他们都愿意为自己的孩子付出自己的一切。即便自己再恶，但当自己的孩子被当做商品对待时，内心深处缠绕的善与恶会更加激烈。把孩子当作商品对待这种人应该吞一千根针
王食欲,2024-12-30 16:47:21,云南,3星,201,陈思诚宇宙让中国电影在东南亚建国了。
噗嗤嗤嗤哈,2024-12-29 19:22:46,广东,2星,152,再看陈思诚参与的作品我是狗。。。恐怖效果全靠一惊一乍的音效
Colman,2025-01-04 17:32:23,福建,2星,111,卖小孩赚那么多钱，是不会买两罐氧气罐放后车厢吗？
SER,2024-12-28 11:07:02,贵州,1星,1044,这个IP很值得捞金吗？一直拍个不停，都要拍烂了，换壳讲诉中国故事？很有趣吗… 停止吧
Shan,2025-01-02 19:40:25,北京,5星,42,豆瓣貌似对CSC非常不友好，但有一说一，是非常好看的商业片，值回票价
ideal,2024-12-28 10:10:44,黑龙江,1星,672,别再拍了除了1还行，后面两部太难看了
