用户名,评论时间,IP属地,评论分数,有用数量,短评内容
张天翼,2012-02-27 22:33:01,,5星,9257,对残障人士最大的尊重，就是不要把他们当做残障人士。尊重比爱和同情心更高等级
桃桃林林,2012-02-13 22:37:33,,4星,5911,音乐真棒，看到最后有些意犹未尽。很舒服的电影，故事有趣又会带些感动。两个完全不同世界的人，因为教育、知识、习惯等各种不同造成情节冲突及笑料；而彼此的影响和同化则是感动的部分。对于菲利普来说，有时需要的未必是小心翼翼的服侍，而是像对待普通人一样的无歧视对待。
LORENZO 洛伦佐,2012-02-16 21:05:30,,5星,7803,我想每个人都至少有这么一个挚友，你和他/她在人生的拐点遇到，惊叹于彼此的不同或者相似，有过不少平淡无奇却值得纪念的时光，ta会将心比心，为你的哀伤扼腕，为你的快慰击节，更会在ta的心里，为你留下那么一块永恒的位置，任白云苍狗，风云变幻。
Dr希鲁鲁克,2012-07-23 22:35:48,,5星,6761,给领导做一万件好事不如陪他做一件坏事
jiyun,2012-02-16 18:57:55,,5星,2933,今年看的第二部佳片。茫茫人海，两个截然不同的人相遇，你改变了我，我改变了你，相逢的人会再相逢。关于社会的贫富差距、青少年犯罪、种族歧视这些虽没有明说却在暗中映射，以此来烘托角色。富豪有钱却残疾不快乐，黑人贫穷却有一颗善良乐观的心。ps:Ludovico Einaudi的配乐很加分！
饭团,2011-11-05 03:26:36,,5星,2493,原声实在是棒！两个演员都很精彩 完全是笑声和泪水齐飞的电影！！！
晚安好运©️,2012-02-16 21:51:04,,5星,1860,某个人在不经意间走进你的生活，他和你不同阶层，不完美，甚至有不少讨人厌的毛病，但是长期的相互信任和理解成就了一段真挚友情，也给两个人的生活都带来了阳光。把德瑞斯的原型改成黑人使对比更强烈情节更戏剧化，也让这段超越种族的友情更感人。影片里乘着滑翔伞在山谷中翱翔那幕太美了……
艾小柯,2012-02-19 12:39:34,,3星,836,轻松诙谐，很有趣的搭档故事。但叙事浮于表面，人物塑造脸谱化，故事缺乏真实感（尽管是据真事改编）。弗朗索瓦·克鲁塞和奥玛·赛的表演动人，但受剧本限制人物缺乏层次。过分中正的温情。3.5星。
匡轶歌,2012-02-18 00:41:41,,4星,3682,开怀大笑一整场，最后却蓦然飙泪。身份、地位、财富、性格、教养、爱好、年龄，各方面皆如此悬殊的两人，磁场却契合完美。无论爱情友情，所谓好的、有爱的关系，是两个人都在关系里感到开心融合、自由释放、并因而成长。什么是灵魂伴侣？这，就是传说中的，灵魂伴侣。
浅苍,2012-02-15 09:32:14,,4星,2982,毫不基情的友情片！
psycho DC,2012-02-20 03:32:33,,5星,1208,黑&白，老&少，超越种族和阶级的友情，感人至深的温情，细腻动人的剧情，以及极赞的电影配乐，不禁让人想再次回味...
Q。,2012-02-14 20:43:03,,4星,1993,去年的法国票房冠军，来自于一个真实故事的改编。少有的不刻意煽情，原声很棒，一个老套的故事竟能讲的如此有趣，还总能时不时惹人发笑，让人感动。最后字幕拉起时，仍在回味并享受那种喋喋不休与法式优雅情怀。有时，也许你给我的，是所有人都无法触及到的。★★★★
思考的猫,2012-04-03 17:29:35,,5星,1106,乐而不淫，哀而不伤，碰到达到这种境界的生活喜剧是件幸事。
司令,2012-05-29 20:06:40,,5星,663,残疾高帅富与乐观男屌丝的旷世友情。
铃铛,2018-03-29 07:56:28,,5星,516,有时，你必须进入别人的世界去发现自己的世界缺少什么。
琦殿,2012-02-19 17:26:32,,4星,922,但你们真的好容易被感动哦。
大奇特(Grinch),2012-02-14 03:43:11,,4星,808,高雅喜剧，黑与白分别代表两种被法国社会所孤立的特殊群体，他们相互嘲讽，是用法国社会的嘲讽来引领观众对使角色的认同；他们相互扶持，融为一体并重新融入社会。通过片尾我们了解到原型是白人，片中改为黑人一是能够起到对角色的随性化处理；二是对于第三第四代非裔法国人渴望融入社会的渴望。
齊克斯尼力佐飛,2012-02-13 11:40:57,,4星,622,其实是一份无甚惊喜的叙事和感动。
o.m.,2023-06-13 11:28:36,安徽,5星,437,“铁生，踢球去！”
白日美人_S,2012-03-10 11:36:59,,5星,398,身边的人换了又换，最了解我的还是你。
chaaaaad。,2012-04-03 02:23:21,,3星,556,又被神话了的电影。
易老邪,2012-06-24 11:24:18,,3星,361,以调和阶级矛盾为旨的片子必以强调阶级差异为乐。
亵渎电影,2012-02-13 18:28:54,,4星,517,就像Ludovico Einaudi的钢琴配乐，古典，氛围，轻易就可以打动人心，我对于此人的印象，还停留在【这就是英格兰】电影原声阶段。欢乐和温情并存的法式温情喜剧，台词很精准，刻画人物的同时还让人捧腹，力道精准，火候尚佳，这应该就是点到即止的魅力！高雅和喜剧细胞还真不是随便就能学来的。★★★★
影志,2012-12-25 22:24:07,,4星,393,“真正的残疾并不是坐在轮椅上，而是失去她。” 当你真正适应一个人后，任何人都是取代不了的。艾迪·墨菲与罗伯特·德尼罗不得不说的故事。
阿vi子,2018-01-14 16:13:01,,5星,318,黑人小哥总是能轻而易举哄得菲利普开怀大笑，看似截然不同的两个人，但心灵的契合度却如此之高～为这段跨越阶级的友谊喝彩！
bamboo,2012-05-18 00:40:10,,5星,209,是关于阳春白雪怎样与下里巴人和谐融洽的故事么  黑人大哥完全集中了所有的笑点与哭点  没有大起大落没有波澜曲折 却甚是好看
风间隼,2012-04-07 22:22:23,,3星,221,宣扬阶级调和的励志片，从立意到手法都很平庸，不明白怎么那么受欢迎。
弗朗索瓦张。,2011-11-27 07:45:53,,4星,247,看预告片还觉得这么老套。没想到这是我第一次在法国看到数次笑出声的电影，第一次全场满座我买到最后一张票的电影，第一次看带字幕的法语电影(聋人专场)，没想到摄影如此唯美合我胃口，没想到难舍基情如此动人。你们懂的。尤其是最后换谁都不要的那段，简直了。PS:白人男主角像张国立。
甜椒Oli,2017-03-10 14:48:06,,5星,167,生活很孤独。爱人知己无法触碰触不可及。
同志亦凡人中文站,2012-02-25 21:42:15,,4星,163,这是两种截然相反的人生和性格碰撞在一起迸发的光亮。因为剥离了怜悯而显得更加不卑不亢。真人真事无疑有加分。然而假使小黑没有在野蛮和暴力外保留那份本来的善良，well，这一切恐怕永远都不会发生。
木由,2016-12-23 15:50:07,,5星,110,不自觉地和Me Before You对比。最大的差异是对于生死的选择，最大的共同点是帅且多金。为什么不拍一部残疾+穷人的电影呢？想想也挺悲哀的，毕竟拍了也没人爱看。因为我们总是自动屏蔽渺无希望的生活。即使这样的生活被编剧改编得大爱无疆，也会使我们直面藏在骨髓里的冷漠，太不可爱了。
Connie,2012-02-17 11:50:24,,3星,186,还是有钱人爽
谢飞导演,2021-09-01 14:13:43,,3星,121,补看这部豆瓣排行26，评分9.2的法国电影，IMDB排行46，评分8.5。是部不错的作品。虽然是真实事件改编，但还是太“甜”了，技法上也没有什么突出或过人之处。我的打分不高。看来这两个国内外观众的打分排行榜，还主要是反映了当前大众的欣赏口味。
时以星,2012-02-16 01:24:16,,4星,169,好看又感动。粗朴但善良的心灵，与细腻却退缩的灵魂的对话。人生行到某个阶段，影响你的，改变你的，往往不是那些长期陪伴在身边，以为已经了解你熟悉你的人，而是另外一种人，带着他的生活观，他的眼睛和心来给你一种全新的角度去了解生命。不是每一个人都能幸运遇到他的黑先生，幸运的是我们有电影。
樹一,2012-11-03 21:36:42,,5星,154,每个人都是一个容器，你的容量决定了朋友的品质。所谓的人文关怀不是给予同情和物质帮助，而是尊重每个人平等享受生活的权利。
花儿果果,2012-02-15 09:57:29,,4星,137,即使拥有高雅的修养，敌国的财富，也抵不过触碰自由与激情的内心渴望。音乐很棒啊。
TORO VAN DARKO,2011-11-02 06:42:33,,4星,100,欢笑和感动并存的优秀法国喜剧，两个各方面都天差地别的人碰撞出层出不穷精彩捧腹的笑料，同时影片中感性动人的段落也恰到好处，触动心弦又不会显得刻意或过头。影片主题对症下药，法国观众自然爱到不行。原声很赞。
朝暮雪,2012-08-07 15:58:17,,4星,89,温柔，可以化解肤色和阶级的隔阂。
米粒,2012-09-23 07:44:55,,4星,65,倒没有觉得这是个多让人感动的故事，但这种人与人交往中学到的珍贵的东西，才是最让人感同身受的地方。而且这是个真的故事啊。这种缘分，真的是一辈子的财富
欢乐分裂,2012-02-15 22:14:27,,3星,123,对于过于完美的想象，我总是心怀恐惧。
老袁,2017-01-25 22:56:09,,4星,69,低俗让人快乐
罗弘霉素,2012-03-26 04:01:26,,5星,108,有感动的地方，但是没有影评来的那么夸张，只能说这个电影看着很舒服，音乐很棒。
愤世嫉俗,2021-03-12 14:14:29,,5星,117,"""因为他不同情我"""
lion,2023-08-30 17:54:30,河北,5星,62,最后一幕人物原型出现的时候，我突然觉得，哇，这种理想主义拉满的故事是真实存在的，世界真美好。
爱情海,2017-03-12 22:27:46,,5星,43,音乐很棒，故事有趣与感动并存。两个完全不同世界的人，因为教育不同、阶级不同、习惯不同，相处之间造成冲突及笑话，而对彼此的影响和同化却是感人的。
乌鸦火堂,2012-03-26 11:35:27,,5星,51,见识了传说中的神作，并非传统的法国喜剧，而是那种笑中有泪的电影，平淡的故事中透露着质朴的真情，始终散发着一种摄人心魄的魅力，欢笑场面很多，但最终是那种笑着哭的感觉，非常精彩的法国片，音乐动听，画面美丽，佳作一枚
fany,2012-03-10 21:08:59,,3星,110,没有想象中那么牛B啊。
又青,2022-09-04 21:26:56,四川,3星,83,笑点get 不到，剧情不吸引人，节奏拖沓，主角人设也很难让人喜欢……黑人普信男还没礼貌，白人换护工了莫名其妙对负责任的新护工发火……虽然人和人是有磁场的，但是大可不必如此没有礼貌……不是很懂这部剧的三观，以及想要表达的东西。尊重比同情更重要，但是礼貌待人不正是尊重吗？不是只有没边界感的友情才是友情。唯一可以夸的是配乐还不错，无法理解评分这么高
水木丁,2012-06-15 01:32:51,,5星,47,太喜欢法国人的那个劲儿了
九尾黑猫,2012-04-23 22:51:15,,4星,71,他很有钱，而他什么都没有，但是他们忘了无论面对什么样的逆境都能开怀大笑，是种无价宝，千金不换。你说它美得像个童话，但它真的发生了，就存在于这个世界上。童话，生活，不过是相同风景中不同人眼中的世界。
blue,2022-12-05 03:59:04,广东,5星,43,平平淡淡大大方方的讲了一个很好的故事，不需要什么激化矛盾，升华主题，就简简单单的，却让人感觉无比舒适，致敬伟大而真挚的友谊。
jarvia,2022-08-21 05:33:49,德国,5星,65,好想成为主角这样的社牛啊，不见外，精力充沛，不害怕冒犯别人，也不讨厌被别人冒犯，被人拒绝也绝不怀疑自己魅力，遇到不好的事也一笑置之。
扶老太太闯红灯,2023-10-27 13:48:44,山东,5星,49,intj强行雇佣entp的故事…
虚弱橙,2016-08-16 23:07:25,,5星,44,豆瓣观影第1000部。比最开始设定目标时候竟然晚了这么多年。唯有超越了同情，才有真正平等的爱。
荔枝超人,2012-07-25 22:16:21,,2星,58,法国《失恋33天》，全是聒噪无趣的对白和装模作样的悲喜交加。
芦哲峰,2012-12-26 12:48:48,,3星,52,只有在这种极端的对比之下，我们才能看清：财富并非万能，健康无比重要。一具病体，连灵魂都不得安宁。
原来是西门大嫂,2012-03-12 11:17:57,,3星,45,这种题材放给美国人拍肯定会完全不一样吧，当代的法国人拍东西还是太GING太温情脉脉，贱不起来也残酷不起来。关系进展太刻意了，黑人的前史结合的不好，观影过程挺愉快的，但看完了有种无法回味的尴尬感。
GEMiNi,2012-04-16 09:43:16,,1星,127,剧情弱智。。感动不起来。。能有这么多故事的前提是瘸腿的大叔有钱、很有钱。。没钱呢？还有故事吗？
A L E X,2012-02-28 21:40:28,,4星,59,没有刻意催泪，但那股暖流贯穿始终，真是一部治愈影片，两个人的性格都好棒！一直对黑人带有偏见的我都觉得Driss好可爱！跳伞时的那首Feeling Good配的太好了，那是真正的Feeling Good~~~~
连城易脆,2020-02-29 12:06:33,,4星,25,其实最感人的是这部电影改编自真实事件，并非一些人一厢情愿的主观意淫。所以人性中积极的那一面确实是充满光辉的，电影最后的那段长时间的钢琴曲也使得本片更加隽永。相较于美版颜值更高娱乐性更强而言，原版的文艺气息更足，再加上毕竟是第一版，自然也应该收获更多的好评。两个版本情节上最大的差异应该是对于会见女性笔友的处理，原版更多的是留白，而一向不喜欢留白的好莱坞则详细地描写了一番。男主弗朗索瓦真的和达斯汀霍夫曼有些神似呀，海报乍一看真以为是他呢。
卡拉卡拉淅沥沥,2017-02-04 00:30:00,,5星,54,有时候  我们真的需要一个人冲进我们的生活  然后  才知道原来这样的方式会使我们更加的快乐自由        孤独是人的常态  所以陪伴  才显得格外重要吧  如果可以彼此默契 志同道合  这是多么幸运又幸福的一件事啊        大海  蓝天  自由  朋友
张熊熊,2012-07-07 20:46:13,,5星,30,T^T为什么世界上有电影这么美好的东西！！！！！！！！！
一条潜水咸鱼🐟,2022-09-04 00:59:20,四川,5星,18,观感极佳的一部电影，节奏舒缓而又能每一个细节都踩在共鸣点上。有和《绿皮书》类似的双向救赎情节，但我认为这部电影在叙事上更加独到而精妙，剧本用了我们在文本中再熟悉不过的倒叙，但是这种叙事感不刻意，让人在平静自然的观影过程中发现前后呼应时大呼过瘾。在不到两个小时的剧情中，能把每个人的性格变化自然生动地刻画出来真不是一件容易的事，「友谊」这个泛而又泛的主题在这部影片的表现中显得不做作而又不落俗套，这才是值得标榜的杰作。
酒鬼一家小迷妹,2018-04-04 09:11:21,,5星,41,人的一生难得如此挚友。印象很深的是在很多人觉得德希斯不靠谱的时候，菲利普说就是因为他没有同情心才选的他，甚至在看护的时候，德希斯会忘了他在照看的其实一个残疾人。真的是很暖了。
胤祥,2014-01-28 22:43:17,,4星,22,看到片尾原型是突尼斯人而不是黑人，瞬间秒懂片中各种微妙的不和谐感是哪儿来的了。编导实在是要找个身体过于健壮的黑人来形成对比了。文本结构的还算精细，A故事的展开很不错，B故事（黑人小哥这边的高等文化教养）则是意料之外情理之中。影片槽点不少。
大头绿豆,2012-07-21 18:48:01,,5星,19,❶菲利普们需要的是平静和尊严，这是比源自同情的照料或者有道德表演意味的愚孝更难得的东西。❷德利斯将上层社会装的逼一一消解的过程，是此类题材中最成功的。❸François Cluzet继「小小的善意谎言」后的又一次完美演出。
Ocap,2015-05-10 21:35:13,,3星,34,3.5。叙事白开水，配乐犯规向。无刺可挑，但也不亮，启蒙时期错过即无感系列。
shininglove,2016-04-20 16:29:05,,5星,23,非虚构真实事件改编，其蕴含的情感纹路是虚构创作无法比拟的，不同阶级、种裔、文化背景的黑白配碰撞，擦出的火花打动人心。它能持久的留下来，非技法的纯熟，是源于细腻的情感范畴捕捉。
TISA,2013-04-28 22:15:10,,4星,37,你有没有能力去点亮另一个人的人生？
死的蚊,2021-12-01 14:57:16,,3星,36,号称真实故事改编，但是看完却并不真心相信。片尾的护工照片是个白人，正片改成了黑人，这算是“刻板印象”还是政治正确？
novich,2012-10-03 00:34:29,,4星,26,理想化的处理不在于剧情，而是对待生命力的演绎。下层移民拥有粗俗蓬勃的力比多，给衰老垂死，残疾的上层文化输血。这个模式近乎D.H.劳伦斯，编剧导演也聪明地利用这个陈腐观念中的戏剧效果。
雨果,2016-12-03 13:03:05,,4星,38,看完心里暖暖的。触不可及，多恰到好处的名字。德瑞克和菲利普在身边都没有自己的知己，反而是两个完全不在同一世界的人成为了好伙伴。菲利普需要的是别人不要把他当残疾人对待，德瑞克理解菲利普，不同圈子的人慢慢相互理解，并成为挚友，这比中六合彩都难。
杨迪,2022-09-13 22:04:52,上海,5星,21,都这样了，也绝不让你掉一滴眼泪。生活有意外也有无限可能，我都接受也都享受。
维城乱马,2016-02-15 20:37:01,,4星,24,以为苦情却是温情而且不乏幽默。伴着熟悉悦耳的钢琴曲开始，劣迹斑斑的流浪汉登堂入室，下里巴人彗星撞击阳春白雪地球，他就像戳穿皇帝新衣的男孩，完全无视上流社会的繁文缛节，普通和文艺青年之间的种种冲突令人捧腹，但话糙人不糙，大俗大雅最终和谐共处。让改变发生，生活中一切皆有可能。
有心打扰,2012-02-14 01:00:43,,3星,25,钢琴缓缓流淌的温馨，流行歌曲跳跃的欢快。人生中总是在不可知的位置遇见那个影响自己一生的挚友。
豆瓣酱,2012-02-26 01:29:22,,1星,62,扯淡，哪有那么好看，豆瓣怎么了？都9.1分了！大家都怎么了？多久没看琼瑶小说了？这不过就是个普通的煽情片子，不至于吧？公平来说也就6分
扌丁月佥,2017-03-22 12:50:09,,4星,31,真的很搞笑，没有刻意的用眼泪表达男主的不幸，但是男主失落的表情真的让我印象深刻。
X,2017-03-20 10:49:46,,5星,17,喜欢法国电影，特别是喜剧，这部是经典中的经典，两个人，一个小混混一个高知，机缘巧合的相会成就了一段感人的故事，真人故事改编的
滚滚的麻麻,2017-08-15 00:33:57,,4星,36,没有我想象中的感动，男人之间的友谊还真跟女人不一样。
亚比煞,2012-04-05 20:54:19,,4星,28,谈不上深刻，但还是好看的，被逗笑了好几次，尤其是音乐会，猫和老鼠。整晚一直循环播结尾的那段原声，音乐中安静而汹涌的力量，一次次击中我。
荞麦,2012-08-06 17:37:03,,3星,34,这才是阶级嘛。阶级不是一个贬义词，只是一个描述。
月涩,2017-02-10 14:38:01,,4星,30,朋友推荐的，很好看！喜欢这种感情细腻的影片能够打动人心。结尾部分赚了我眼泪，被感动到的。这世间的美好！
momo,2016-08-07 03:06:55,,4星,14,看过后并没有别人说的震撼，给4星吧
橘猫爱吃鱼,2018-08-06 23:11:05,,5星,13,人生观和价值观完全不同的两个人之间的碰撞、同化。他们相互拯救了彼此。
昵称被占不开心,2017-02-15 11:14:34,,5星,20,知己难求
DIANLIN,2018-05-07 02:37:41,,3星,20,观影体验愉快，但作为一个调和阶级差别的故事，仅有偶然意义，而无标本价值。
思郁,2012-03-25 21:58:03,,4星,11,很温情倒是真的，音乐也不错，但是没有传说中这么神吧
刘康康,2012-05-19 01:14:58,,3星,21,由此可见法国人民的文艺其实还是假文艺，骨子里还是喜欢看好莱坞这种温情加点幽默的故事。这片子给我的感觉是音乐真的很棒，演员表演也没说的，但故事其实也就是好莱坞最主流的那一套。所以说人人都爱好莱坞。
热心网友方先生,2017-02-08 20:53:29,,5星,22,很有意思的电影，我最喜欢里面讽刺抽象派的那一段。就像男主角说的，我之所以选他是因为他对我没有怜悯之心，并不会把我当做残疾人来照顾。就算有再专业的人照顾男主，但始终也没有黑人那种从心底的关怀，带给他不一样的东西。带他抽烟打雪仗。这都能让男主活的很开心，不会像个木头一样坐在房间里。
burble,2012-02-20 15:05:04,,1星,18,片子不错，但太造作。对比法国在卢旺达大屠杀中的卑鄙角色，这个片子令人作呕。
柠檬海盐,2017-05-15 22:56:37,,4星,9,很好看，超棒，配乐很好听。喜欢
诸葛若见,2014-02-16 22:40:16,,4星,13,电影改编自真实事件，温情故事与法式幽默相得益彰。黑与白，健康与残疾，富有与贫穷，幽默与尊重。若有交心挚友，不会触不可及。
握不住的灵魂,2012-02-16 23:00:54,,4星,11,“对他说”
城南草木生,2015-12-20 21:40:52,,4星,9,法国人真的很单纯。
米姐起飞,2012-09-28 00:44:45,,5星,18,有的人是打心眼儿里散发一种对生命的激情，可以强有力地感染到周围人，带来快乐。或许这便是正能量的魅力所在。
57,2012-02-23 16:30:52,,3星,15,出发之前温情一下。天下最难的是，找到面对我们的天性，甚至释放我们天性的人。这不是一个阶级融合的故事，只是一个巧合而已。
时宜,2023-09-13 21:22:19,河南,3星,27,温情，平庸，带着一种男权底色的温情，并不是很打动我，或许我是反感这种男性叙事吧
Rorschach,2020-01-27 20:52:14,,3星,25,3.5 。初看4星，再看下降，现在凭回忆打3分，主要是越来越不喜欢这种想象一番上层生活，然后意淫他们需要我们下层的激情和灵魂来拯救，的主题。
雪球,2021-03-15 17:35:38,,3星,15,黑人政治电影，谁能告诉我这电影是怎么有这么高的评分的？是我见识太过浅薄了吗？我看下来就感觉…全程都在洗白黑人，还洗的很僵硬……伯牙子期式的友情营造的很刻意，仿佛硬按着我的头让我磕cp……想反种族歧视，但是亚裔角色又全是妓女6分给了配乐和摄影……剧情和价值观真是不敢恭维……
lostmore,2017-01-29 20:34:25,,2星,42,不值这个分数，也就6顶多，也没觉得感人，如果黑男免费照顾他n年，而富翁也不是富翁，那这个才是感动。一切建立在金钱关系上的炫富故事，如果让我感动，那我感动拜金主义？说坐私人飞机去跳伞，几十万买一幅画，还很像郭敬明的故事。
